시도교육청코드,시도교육청명,행정구역명,학원교습소명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,도로명우편번호,도로명주소,도로명상세주소,적재일시
B10,서울특별시교육청,광진구,교습소,3000029023,돌체피아노교습소,20170515,20170515,개원,,,4,4,예능(대),예능(중),피아노,음악,,Y,N,05054,서울특별시 광진구 아차산로40길 33,/ 102호 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000012486,동그라미미술교습소,20111114,20111114,개원,,,12,7,예능(대),예능(중),주1회,미술,주1회:38000/ 주2회:75000,Y,N,143858,서울특별시 광진구 뚝섬로36가길 6,1층일부 (자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000020641,동심음악교습소,20140716,20140716,개원,,,75,6,예능(대),예능(중),피아노 초급,음악,피아노 초급:120000/ 피아노 초급:100000/ 피아노 중급:130000/ 피아노 중급:110000/ 피아노 고급:150000/ 피아노 고급:130000/ 바이올린:180000/ 바이올린:130000/ 기타:180000/ 기타:130000/ 드럼:180000/ 드럼:130000/ 우쿨렐레:180000/ 우쿨렐레:130000/ 피아노초급:90000/ 피아노중급:100000/ 피아노고급:110000/ 바이올린:110000/ 바이올린:50000/ 기타:110000/ 기타:50000/ 드럼:110000/ 드럼:50000/ 우쿠렐레:110000/ 우쿠렐레:50000,,,143891,서울특별시 광진구 천호대로111길 57,/ 201호 (중곡동/경빈빌딩),20200830005523
B10,서울특별시교육청,광진구,교습소,3000014619,드림아트우리들미술교습소,20120628,20120628,개원,,,27,9,예능(대),예능(중),초등 미술,미술,초등 미술:70000/ 초등 미술:160000/ 초등 미술:200000,,,143862,서울특별시 광진구 뚝섬로 541,/ 3층일부 (자양동/혜수약국),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030430,디지털컴퓨터교습소,20020426,20020426,개원,,,30,5,기타(대),기타(중),초/OA/자격증/프로그래밍1,컴퓨터(소),,Y,N,143754,서울특별시 광진구 아차산로 522,현대프라자상가 307호(광장동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000036413,라라미술교습소,20200228,20200227,개원,,,12,9,예능(대),예능(중),미술 초등,미술,미술 초등:79000/ 미술 유아:65000/ 미술(만들기) 초등/유아:65000,Y,N,05039,서울특별시 광진구 자양로28길 18-1,/ 2층 (구의동),20200830005523
B10,서울특별시교육청,광진구,교습소,2000030357,라라피아노교습소,19990304,19990304,개원,,,5,1,예능(대),예능(중),초급 피아노,음악,초급 피아노:90000/ 초급피아노:100000/ 중급피아노:110000/ 중급피아노:120000/ 고급피아노:130000,Y,N,143854,서울특별시 광진구 자양번영로11길 35-10,(자양동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000031706,라벨비음악교습소,20180502,20180502,개원,,,39,9,예능(대),예능(중),어드벤처1A-2B(초중고),음악,어드벤처1A-2B(초중고):130000/ 어드벤처3A-5B(초중고):140000/ 어드벤처6A-8(초중고):150000/ 어드벤처1A-2B(초중고):110000/ 어드벤처3A-5B(초중고):120000/ 어드벤처6A-8(초중고):130000/ 바이올린(초중고):110000,Y,N,04926,서울특별시 광진구 용마산로3길 104,/ 2층 일부 (중곡동/ 한성),20200830005523
B10,서울특별시교육청,광진구,교습소,3000035607,라움미술교습소,20191118,20191118,개원,,,5,3,예능(대),예능(중),,미술,,Y,N,04974,서울특별시 광진구 광나루로 635,/ 2층 204호  (광장동/ 광장현대3단지아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000036538,라하잉글리시광장영어교습소,20200313,20200313,개원,,,45,9,입시.검정 및 보습,보통교과,영어 초등,보습,영어 초등:200000/ 영어 초중등:250000/ 영어 초등:140000/ 영어 초등/중등:180000/ 영어 중등:280000,Y,N,04974,서울특별시 광진구 아차산로 522,/ 현대프라자상가 2층 210호 및 211호 (광장동/ 현대아파트),20200830005523
B10,서울특별시교육청,광진구,교습소,3000029442,리딩버디영어교습소,20170714,20170714,개원,,,20,4,입시.검정 및 보습,보통교과,,보습,Basic Level:90000/ Development Level(A):150000/ Development Level(B):170000/ Leap Level:190000/ Master Level(A):210000/ Master Level(B):250000/ Hello리더반(초):150000/ Nate반(초):170000/ 매직트리반(초):190000/ 로알드달(초-중):210000/ 해리포터반(초-중):230000,Y,N,04930,서울특별시 광진구 용마산로3길 95,/ 1층일부 (중곡동),20200830005523
B10,서울특별시교육청,광진구,교습소,3000017646,리엔아트미술교습소,20130710,20130710,개원,,,49,7,예능(대),예능(중),초등미술1,음악,초등미술1:90000/ 초등미술2:110000/ 초등미술3:160000/ 초등미술4:250000/ 초등미술5:130000/ 초등미술6:180000/ 초등미술7:270000,Y,N,143755,서울특별시 광진구 아차산로70길 61,/ 현대아파트5단지상가 103호 (광장동/광장현대아파트),20200830005523
